AG|Solomon Islands
AN|Nauru
AY|Papua New Guinea
BG|Greenland
BI|Iceland
BK|Kosovo
CA|Canada
CB|Canada
CC|Canada
CD|Canada
CE|Canada
CF|Canada
CG|Canada
CH|Canada
CI|Canada
CJ|Canada
CK|Canada
CL|Canada
CM|Canada
CN|Canada
CO|Canada
CP|Canada
CQ|Canada
CR|Canada
CS|Canada
CT|Canada
CU|Canada
CV|Canada
CW|Canada
CX|Canada
CY|Canada
CZ|Canada
DA|Algeria
DB|Benin
DF|Burkina Faso
DG|Ghana
DI|Côte d'Ivoire
DN|Nigeria
DR|Niger
DT|Tunisia
DX|Togolese Republic
EB|Belgium
ED|Germany (civil)
EE|Estonia
EF|Finland
EG|United Kingdom (and Crown dependencies)
EH|Netherlands
EI|Ireland
EK|Denmark and the Faroe Islands
EL|Luxembourg
EN|Norway
EP|Poland
ES|Sweden
ET|Germany (military)
EV|Latvia
EY|Lithuania
FA|South Africa
FB|Botswana
FC|Republic of the Congo
FD|Eswatini
FE|Central African Republic
FG|Equatorial Guinea
FH|Saint Helena, Ascension and Tristan da Cunha
FI|Mauritius
FJ|British Indian Ocean Territory
FK|Cameroon
FL|Zambia
FM|Comoros, France (Mayotte and Réunion), and Madagascar
FN|Angola
FO|Gabon
FP|São Tomé and Príncipe
FQ|Mozambique
FS|Seychelles
FT|Chad
FV|Zimbabwe
FW|Malawi
FX|Lesotho
FY|Namibia
FZ|Democratic Republic of the Congo
GA|Mali
GB|The Gambia
GC|Spain (Canary Islands)
GE|Spain (Ceuta and Melilla)
GF|Sierra Leone
GG|Guinea-Bissau
GL|Liberia
GM|Morocco
GO|Senegal
GQ|Mauritania
GS|Western Sahara
GU|Guinea
GV|Cape Verde
HA|Ethiopia
HB|Burundi
HC|Somalia (including Somaliland)
HD|Djibouti
HE|Egypt
HH|Eritrea
HK|Kenya
HL|Libya
HR|Rwanda
HS|Sudan and South Sudan
HT|Tanzania
HU|Uganda
KA|Contiguous United States
KB|Contiguous United States
KC|Contiguous United States
KD|Contiguous United States
KE|Contiguous United States
KF|Contiguous United States
KG|Contiguous United States
KH|Contiguous United States
KI|Contiguous United States
KJ|Contiguous United States
KK|Contiguous United States
KL|Contiguous United States
KM|Contiguous United States
KN|Contiguous United States
KO|Contiguous United States
KP|Contiguous United States
KQ|Contiguous United States
KR|Contiguous United States
KS|Contiguous United States
KT|Contiguous United States
KU|Contiguous United States
KV|Contiguous United States
KW|Contiguous United States
KX|Contiguous United States
KY|Contiguous United States
KZ|Contiguous United States
LA|Albania
LB|Bulgaria
LC|Cyprus
LD|Croatia
LE|Spain (mainland section and Balearic Islands)
LF|France (Metropolitan France; including Saint-Pierre and Miquelon)
LG|Greece
LH|Hungary
LI|Italy
LJ|Slovenia
LK|Czech Republic
LL|Israel
LM|Malta
LN|Monaco
LO|Austria
LP|Portugal (including the Azores and Madeira)
LQ|Bosnia and Herzegovina
LR|Romania
LS|Switzerland
LT|Turkey
LU|Moldova
LV|Palestine/Palestinian territories
LW|North Macedonia
LX|Gibraltar
LY|Serbia and Montenegro
LZ|Slovakia
MB|Turks and Caicos Islands
MD|Dominican Republic
MG|Guatemala
MH|Honduras
MK|Jamaica
MM|Mexico
MN|Nicaragua
MP|Panama
MR|Costa Rica
MS|El Salvador
MT|Haiti
MU|Cuba
MW|Cayman Islands
MY|Bahamas
MZ|Belize
NC|Cook Islands
NF|Fiji, Tonga
NG|Kiribati (Gilbert Islands), Tuvalu
NI|Niue
NL|France (Wallis and Futuna)
NS|Samoa, US (American Samoa)
NT|France (French Polynesia)
NV|Vanuatu
NW|France (New Caledonia)
NZ|New Zealand, parts of Antarctica
OA|Afghanistan
OB|Bahrain
OE|Saudi Arabia
OI|Iran
OJ|Jordan and the West Bank
OK|Kuwait
OL|Lebanon
OM|United Arab Emirates
OO|Oman
OP|Pakistan
OR|Iraq
OS|Syria
OT|Qatar
OY|Yemen
PA|US (Alaska)
PB|US (Baker Island)
PC|Kiribati (Canton Airfield, Phoenix Islands)
PF|US (Alaska)
PG|US (Guam, Northern Mariana Islands)
PH|US (Hawaii)
PJ|US (Johnston Atoll)
PK|Marshall Islands
PL|Kiribati (Line Islands)
PM|US (Midway Island)
PO|US (Alaska)
PP|US (Alaska)
PT|Federated States of Micronesia, Palau
PW|US (Wake Island)
RC|Republic of China (Taiwan)
RJ|Japan (Mainland)
RK|Republic of Korea (South Korea)
RO|Japan (Okinawa)
RP|Philippines
SA|Argentina (including parts of Antarctica)
SB|Brazil
SC|Chile (including Easter Island and parts of Antarctica)
SD|Brazil
SE|Ecuador
SF|UK (Falkland Islands)
SG|Paraguay
SH|Chile
SI|Brazil
SJ|Brazil
SK|Colombia
SL|Bolivia
SM|Suriname
SN|Brazil
SO|France (French Guiana)
SP|Peru
SS|Brazil
SU|Uruguay
SV|Venezuela
SW|Brazil
SY|Guyana
TA|Antigua and Barbuda
TB|Barbados
TD|Dominica
TF|France (Guadeloupe, Martinique, Saint Barthélemy, Saint Martin)
TG|Grenada
TI|US (U.S. Virgin Islands)
TJ|US (Puerto Rico)
TK|Saint Kitts and Nevis
TL|Saint Lucia
TN|Caribbean Netherlands, Aruba, Curaçao, Sint Maarten
TQ|UK (Anguilla)
TR|UK (Montserrat)
TT|Trinidad and Tobago
TU|UK (British Virgin Islands)
TV|Saint Vincent and the Grenadines
TX|UK (Bermuda)
UA|Kazakhstan
UB|Azerbaijan
UC|Kyrgyzstan
UD|Armenia
UE|Russia
UF|Russia
UG|Georgia
UH|Russia
UI|Russia
UJ|Russia
UK|Ukraine
UL|Russia
UM|Belarus and Russia (Kaliningrad Oblast)
UN|Russia
UO|Russia
UP|Russia
UQ|Russia
UR|Russia
US|Russia
UT|Tajikistan, Turkmenistan, Uzbekistan
UU|Russia
UV|Russia
UW|Russia
UX|Russia
UY|Russia
UZ|Russia
VA|India (West India)
VC|Sri Lanka
VD|Cambodia
VE|India (East India)
VG|Bangladesh
VH|Hong Kong
VI|India (North India)
VL|Laos
VM|Macau
VN|Nepal
VO|India (South India)
VQ|Bhutan
VR|Maldives
VT|Thailand
VV|Vietnam
VY|Myanmar
WA|Indonesia
WB|Brunei, Malaysia (East Malaysia)
WI|Indonesia
WM|Malaysia (Peninsular Malaysia)
WP|Timor-Leste
WQ|Indonesia
WR|Indonesia
WS|Singapore
YA|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
YB|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
YC|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
YD|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
YE|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
YF|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
YG|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
YH|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
YI|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
YJ|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
YK|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
YL|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
YM|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
YN|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
YO|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
YP|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
YQ|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
YR|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
YS|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
YT|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
YU|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
YV|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
YW|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
YX|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
YY|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
YZ|Australia (including Norfolk Island, Christmas Island , Cocos (Keeling) Islands and Australian Antarctic Territory)
ZA|Mainland China
ZB|Mainland China
ZC|Mainland China
ZD|Mainland China
ZE|Mainland China
ZF|Mainland China
ZG|Mainland China
ZH|Mainland China
ZI|Mainland China
ZJ|Mainland China
ZK|North Korea
ZL|Mainland China
ZM|Mongolia
ZN|Mainland China
ZO|Mainland China
ZP|Mainland China
ZQ|Mainland China
ZR|Mainland China
ZS|Mainland China
ZT|Mainland China
ZU|Mainland China
ZV|Mainland China
ZW|Mainland China
ZX|Mainland China
ZY|Mainland China
ZZ|Mainland China